prompt,llm_answer,label,reason,label_name,text,true_label
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: Charley's Force Took Experts by Surprise (AP) AP - Hurricane Charley's 145-mph force took forecasters by surprise and showed just how shaky a science it still is to predict a storm's intensity  #151; even with all the latest satellite and radar technology.
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",Sci/Tech,3.0,首先排除无关的Sports（体育）和Business（商业）类别，该文本核心围绕飓风强度预测的科学性展开，提到即使配备最新的卫星和雷达技术，预测风暴强度仍是不成熟的科学，内容属于科学技术相关领域，因此归类为Sci/Tech。,Sci/Tech,Charley's Force Took Experts by Surprise (AP) AP - Hurricane Charley's 145-mph force took forecasters by surprise and showed just how shaky a science it still is to predict a storm's intensity  #151; even with all the latest satellite and radar technology.,3
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: AOL to Sell Cheap PCs to Minorities and Seniors (Reuters) Reuters - America Online on Thursday said it\plans to sell a low-priced PC targeting low-income and minority\households who agree to sign up for a year of dialup Internet\service.
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",Business,2.0,待分类文本报道的是美国在线公司推出低价电脑、绑定一年拨号上网服务的商业销售活动，不属于世界时政、体育、科技领域，因此分类为Business。,Sci/Tech,AOL to Sell Cheap PCs to Minorities and Seniors (Reuters) Reuters - America Online on Thursday said it\plans to sell a low-priced PC targeting low-income and minority\households who agree to sign up for a year of dialup Internet\service.,3
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: 'Madden,' 'ESPN' Football Score in Different Ways (Reuters) Reuters - Was absenteeism a little high\on Tuesday among the guys at the office? EA Sports would like\to think it was because ""Madden NFL 2005"" came out that day,\and some fans of the football simulation are rabid enough to\take a sick day to play it.
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",Sports,1.0,该文本围绕EA Sports推出的橄榄球体育游戏《Madden NFL 2005》展开，内容属于体育相关范畴，因此分类为Sports。,Sci/Tech,"'Madden,' 'ESPN' Football Score in Different Ways (Reuters) Reuters - Was absenteeism a little high\on Tuesday among the guys at the office? EA Sports would like\to think it was because ""Madden NFL 2005"" came out that day,\and some fans of the football simulation are rabid enough to\take a sick day to play it.",3
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: Missing June Deals Slow to Return for Software Cos. (Reuters) Reuters - The mystery of what went wrong for the\software industry in late June when sales stalled at more than\20 brand-name companies is not even close to being solved\although the third quarter is nearly halfway over.
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",Business,2.0,该文本围绕软件公司六月销售停滞的商业经营相关情况展开，核心是行业销售相关的商业议题，不属于科技研究、体育、国际时政类内容，因此归类为Business。,Sci/Tech,Missing June Deals Slow to Return for Software Cos. (Reuters) Reuters - The mystery of what went wrong for the\software industry in late June when sales stalled at more than\20 brand-name companies is not even close to being solved\although the third quarter is nearly halfway over.,3
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: Iraq Halts Oil Exports from Main Southern Pipeline (Reuters) Reuters - Authorities have halted oil export\flows from the main pipeline in southern Iraq after\intelligence showed a rebel militia could strike\infrastructure, an oil official said on Saturday.
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",Business,2.0,待分类文本核心内容是伊拉克因安全威胁停止南部主要管道的石油出口，石油出口属于商业贸易领域的能源相关事件，符合Business类别的范畴，因此分类到该类别。,Business,"Iraq Halts Oil Exports from Main Southern Pipeline (Reuters) Reuters - Authorities have halted oil export\flows from the main pipeline in southern Iraq after\intelligence showed a rebel militia could strike\infrastructure, an oil official said on Saturday.",2
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: Oil and Economy Cloud Stocks' Outlook (Reuters) Reuters - Soaring crude prices plus worries\about the economy and the outlook for earnings are expected to\hang over the stock market next week during the depth of the\summer doldrums.
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",Business,2.0,待分类文本围绕原油价格、经济担忧以及盈利前景对股票市场前景的影响展开讨论，内容属于商业经济领域，因此归类为Business。,Business,Oil and Economy Cloud Stocks' Outlook (Reuters) Reuters - Soaring crude prices plus worries\about the economy and the outlook for earnings are expected to\hang over the stock market next week during the depth of the\summer doldrums.,2
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: Australian FM to visit North Korea for talks on nuclear crisis (AFP) AFP - Australia's foreign minister will pay a rare visit to North Korea this week for talks on its nuclear programme after creating a stir here by warning a North Korean missile would be able to hit Sydney.
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",World,0.0,该文本内容是关于澳大利亚外长访问朝鲜讨论核危机的国际政治新闻，属于国际世界范畴的公共事件，符合World类别的特征，不属于体育、商业、科技领域的内容。,World,Australian FM to visit North Korea for talks on nuclear crisis (AFP) AFP - Australia's foreign minister will pay a rare visit to North Korea this week for talks on its nuclear programme after creating a stir here by warning a North Korean missile would be able to hit Sydney.,0
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: Reds Knock Padres Out of Wild-Card Lead (AP) AP - Wily Mo Pena homered twice and drove in four runs, helping the Cincinnati Reds beat the San Diego Padres 11-5 on Saturday night. San Diego was knocked out of a share of the NL wild-card lead with the loss and Chicago's victory over Los Angeles earlier in the day.
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",Sports,1.0,待分类文本内容围绕辛辛那提红人队与圣地亚哥教士队的棒球赛事展开，介绍了比赛结果与相关排名变化，属于体育相关内容，因此归类为Sports。,Sports,"Reds Knock Padres Out of Wild-Card Lead (AP) AP - Wily Mo Pena homered twice and drove in four runs, helping the Cincinnati Reds beat the San Diego Padres 11-5 on Saturday night. San Diego was knocked out of a share of the NL wild-card lead with the loss and Chicago's victory over Los Angeles earlier in the day.",1
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: Democratic Senator Urges Energy Reform (AP) AP - Congress must pass legislation to protect the nation's electricity grid if it wants to avoid repeats of the devastating outages that rolled across eight states last year, Sen. Maria Cantwell, D-Wash., said Saturday.
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",World,0.0,该文本核心内容是美国民主党参议员呼吁国会通过能源改革相关立法，属于政治新闻范畴，不属于体育、商业、科技领域内容，因此归类为World。,World,"Democratic Senator Urges Energy Reform (AP) AP - Congress must pass legislation to protect the nation's electricity grid if it wants to avoid repeats of the devastating outages that rolled across eight states last year, Sen. Maria Cantwell, D-Wash., said Saturday.",0
"把下述给定的文本分类到以下类别中：['World', 'Sports', 'Business', 'Sci/Tech']。
    待分类文本: Kerry leading Bush in key swing states (AFP) AFP - Although polls show the US presidential race a virtual dead heat, Democrat John Kerry appears to be gaining an edge over George W. Bush among the key states that could decide the outcome.
    按照下述格式返回：
    {
        ""llm_answer"": ""类别名"",
        ""reason"": ""简要说明为什么将文本分类到该类别中"",
    }",World,0.0,该文本报道了美国总统选举中关键摇摆州的民调情况，属于世界政治新闻范畴，不属于体育、商业、科技领域，因此分类为World。,World,"Kerry leading Bush in key swing states (AFP) AFP - Although polls show the US presidential race a virtual dead heat, Democrat John Kerry appears to be gaining an edge over George W. Bush among the key states that could decide the outcome.",0
